"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\MiningQwQMusic\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MiningQwQMusic\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 61, 0, 22, 83
"c:\MiningQwQMusic\app\api\music\playlist\[id]\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\search\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\track\[id]\lyric\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\track\[id]\play-url\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\track\[id]\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\globals.css", "PostCSS", 0, 0, 0, 0, 1562, 0, 0, 0, 0, 262, 1824
"c:\MiningQwQMusic\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\MiningQwQMusic\app\offline\page.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\MiningQwQMusic\app\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\MiningQwQMusic\docs\upstream-contract.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 36, 0, 14, 50
"c:\MiningQwQMusic\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\MiningQwQMusic\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 1, 2, 20
"c:\MiningQwQMusic\package-lock.json", "JSON", 0, 0, 8531, 0, 0, 0, 0, 0, 0, 1, 8532
"c:\MiningQwQMusic\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\MiningQwQMusic\playwright.config.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\MiningQwQMusic\public\icons\icon-192.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\MiningQwQMusic\public\icons\icon-512.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\MiningQwQMusic\public\manifest.webmanifest", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\MiningQwQMusic\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 53, 0, 0, 2, 8, 63
