"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\MiningQwQMusic\README.md", "Markdown", 66, 0, 0, 0, 0, 0, 25, 91
"c:\MiningQwQMusic\app\api\music\album\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\artist\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\discover\default-keyword\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\home\route.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\MiningQwQMusic\app\api\music\discover\hot\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\search-assist\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\MiningQwQMusic\app\api\music\discover\suggest\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 3, 26
"c:\MiningQwQMusic\app\api\music\scene\sati\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\MiningQwQMusic\app\api\music\scene\sport\route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\MiningQwQMusic\app\api\music\search\artists\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\toplist\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\toplist\route.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\MiningQwQMusic\app\api\music\track\[id]\download-url\route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 4, 15
"c:\MiningQwQMusic\app\api\music\track\[id]\insight\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\globals.css", "PostCSS", 0, 0, 0, 1808, 0, 0, 327, 2135
"c:\MiningQwQMusic\public\assets\default-cover.svg", "XML", 0, 0, 0, 0, 17, 0, 1, 18
"c:\MiningQwQMusic\src\components\player-app.tsx", "TypeScript JSX", 0, 0, 1704, 0, 0, 2, 94, 1800
"c:\MiningQwQMusic\src\hooks\use-player-controller.ts", "TypeScript", 0, 592, 0, 0, 0, 5, 47, 644
"c:\MiningQwQMusic\src\lib\api-route.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\MiningQwQMusic\src\lib\client-api.ts", "TypeScript", 0, 104, 0, 0, 0, 0, 15, 119
"c:\MiningQwQMusic\src\lib\detail-palette-transition.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 13, 116
"c:\MiningQwQMusic\src\lib\discover-action.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 9, 46
"c:\MiningQwQMusic\src\lib\home-grid.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 6, 39
"c:\MiningQwQMusic\src\lib\music\adapter.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 1, 31
"c:\MiningQwQMusic\src\lib\music\providers\mock.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 11, 179
"c:\MiningQwQMusic\src\lib\music\providers\netease-like.ts", "TypeScript", 0, 678, 0, 0, 0, 1, 69, 748
"c:\MiningQwQMusic\src\lib\music\service.ts", "TypeScript", 0, 114, 0, 0, 0, 0, 11, 125
"c:\MiningQwQMusic\src\lib\playback-guard.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 9, 59
"c:\MiningQwQMusic\src\lib\playlist-import.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 2, 19
"c:\MiningQwQMusic\src\lib\theme-preference.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 7, 27
"c:\MiningQwQMusic\src\store\player-store.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 37
"c:\MiningQwQMusic\src\types\music.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 16, 131
"c:\MiningQwQMusic\tests\e2e\home.spec.ts", "TypeScript", 0, 180, 0, 0, 0, 0, 19, 199
"c:\MiningQwQMusic\tests\integration\music-discover-routes.test.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 6, 42
"c:\MiningQwQMusic\tests\integration\music-search-artists-route.test.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 32
"c:\MiningQwQMusic\tests\integration\music-track-insight-route.test.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 5, 29
"c:\MiningQwQMusic\tests\unit\detail-palette-transition.test.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 11, 73
"c:\MiningQwQMusic\tests\unit\discover-action.test.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 4, 57
"c:\MiningQwQMusic\tests\unit\home-grid.test.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\MiningQwQMusic\tests\unit\netease-adapter.test.ts", "TypeScript", 0, 268, 0, 0, 0, 0, 23, 291
"c:\MiningQwQMusic\tests\unit\playback-guard.test.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 8, 74
"c:\MiningQwQMusic\tests\unit\player-controller-regression.test.tsx", "TypeScript JSX", 0, 0, 118, 0, 0, 0, 23, 141
"c:\MiningQwQMusic\tests\unit\player-store.test.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 4, 38
"c:\MiningQwQMusic\tests\unit\playlist-import.test.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\MiningQwQMusic\tests\unit\theme-preference.test.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 5, 36
"Total", "-", 66, 3091, 1822, 1808, 17, 8, 832, 7644
