Date : 2026-05-25 22:09:46
Directory : c:\MiningQwQMusic
Total : 46 files,  6804 codes, 8 comments, 832 blanks, all 7644 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         41 |      3,091 |          6 |        362 |      3,459 |
| TypeScript JSX |          2 |      1,822 |          2 |        117 |      1,941 |
| PostCSS        |          1 |      1,808 |          0 |        327 |      2,135 |
| Markdown       |          1 |         66 |          0 |         25 |         91 |
| XML            |          1 |         17 |          0 |          1 |         18 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |         46 |      6,804 |          8 |        832 |      7,644 |
| . (Files)                                                              |          1 |         66 |          0 |         25 |         91 |
| app                                                                    |         15 |      1,967 |          0 |        374 |      2,341 |
| app (Files)                                                            |          1 |      1,808 |          0 |        327 |      2,135 |
| app\api                                                                |         14 |        159 |          0 |         47 |        206 |
| app\api\music                                                          |         14 |        159 |          0 |         47 |        206 |
| app\api\music\album                                                    |          1 |          9 |          0 |          4 |         13 |
| app\api\music\album\[id]                                               |          1 |          9 |          0 |          4 |         13 |
| app\api\music\artist                                                   |          1 |          9 |          0 |          4 |         13 |
| app\api\music\artist\[id]                                              |          1 |          9 |          0 |          4 |         13 |
| app\api\music\discover                                                 |          5 |         55 |          0 |         14 |         69 |
| app\api\music\discover\default-keyword                                 |          1 |         10 |          0 |          3 |         13 |
| app\api\music\discover\home                                            |          1 |          5 |          0 |          3 |          8 |
| app\api\music\discover\hot                                             |          1 |         10 |          0 |          3 |         13 |
| app\api\music\discover\search-assist                                   |          1 |          7 |          0 |          2 |          9 |
| app\api\music\discover\suggest                                         |          1 |         23 |          0 |          3 |         26 |
| app\api\music\scene                                                    |          2 |         15 |          0 |          6 |         21 |
| app\api\music\scene\sati                                               |          1 |          7 |          0 |          3 |         10 |
| app\api\music\scene\sport                                              |          1 |          8 |          0 |          3 |         11 |
| app\api\music\search                                                   |          1 |         37 |          0 |          4 |         41 |
| app\api\music\search\artists                                           |          1 |         37 |          0 |          4 |         41 |
| app\api\music\toplist                                                  |          2 |         14 |          0 |          7 |         21 |
| app\api\music\toplist (Files)                                          |          1 |          5 |          0 |          3 |          8 |
| app\api\music\toplist\[id]                                             |          1 |          9 |          0 |          4 |         13 |
| app\api\music\track                                                    |          2 |         20 |          0 |          8 |         28 |
| app\api\music\track\[id]                                               |          2 |         20 |          0 |          8 |         28 |
| app\api\music\track\[id]\download-url                                  |          1 |         11 |          0 |          4 |         15 |
| app\api\music\track\[id]\insight                                       |          1 |          9 |          0 |          4 |         13 |
| public                                                                 |          1 |         17 |          0 |          1 |         18 |
| public\assets                                                          |          1 |         17 |          0 |          1 |         18 |
| src                                                                    |         16 |      3,821 |          8 |        312 |      4,141 |
| src\components                                                         |          1 |      1,704 |          2 |         94 |      1,800 |
| src\hooks                                                              |          1 |        592 |          5 |         47 |        644 |
| src\lib                                                                |         12 |      1,373 |          1 |        155 |      1,529 |
| src\lib (Files)                                                        |          8 |        383 |          0 |         63 |        446 |
| src\lib\music                                                          |          4 |        990 |          1 |         92 |      1,083 |
| src\lib\music (Files)                                                  |          2 |        144 |          0 |         12 |        156 |
| src\lib\music\providers                                                |          2 |        846 |          1 |         80 |        927 |
| src\store                                                              |          1 |         37 |          0 |          0 |         37 |
| src\types                                                              |          1 |        115 |          0 |         16 |        131 |
| tests                                                                  |         13 |        933 |          0 |        120 |      1,053 |
| tests\e2e                                                              |          1 |        180 |          0 |         19 |        199 |
| tests\integration                                                      |          3 |         87 |          0 |         16 |        103 |
| tests\unit                                                             |          9 |        666 |          0 |         85 |        751 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                               | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\MiningQwQMusic\README.md                                            | Markdown       |         66 |          0 |         25 |         91 |
| c:\MiningQwQMusic\app\api\music\album\[id]\route.ts                    | TypeScript     |          9 |          0 |          4 |         13 |
| c:\MiningQwQMusic\app\api\music\artist\[id]\route.ts                   | TypeScript     |          9 |          0 |          4 |         13 |
| c:\MiningQwQMusic\app\api\music\discover\default-keyword\route.ts      | TypeScript     |         10 |          0 |          3 |         13 |
| c:\MiningQwQMusic\app\api\music\discover\home\route.ts                 | TypeScript     |          5 |          0 |          3 |          8 |
| c:\MiningQwQMusic\app\api\music\discover\hot\route.ts                  | TypeScript     |         10 |          0 |          3 |         13 |
| c:\MiningQwQMusic\app\api\music\discover\search-assist\route.ts        | TypeScript     |          7 |          0 |          2 |          9 |
| c:\MiningQwQMusic\app\api\music\discover\suggest\route.ts              | TypeScript     |         23 |          0 |          3 |         26 |
| c:\MiningQwQMusic\app\api\music\scene\sati\route.ts                    | TypeScript     |          7 |          0 |          3 |         10 |
| c:\MiningQwQMusic\app\api\music\scene\sport\route.ts                   | TypeScript     |          8 |          0 |          3 |         11 |
| c:\MiningQwQMusic\app\api\music\search\artists\route.ts                | TypeScript     |         37 |          0 |          4 |         41 |
| c:\MiningQwQMusic\app\api\music\toplist\[id]\route.ts                  | TypeScript     |          9 |          0 |          4 |         13 |
| c:\MiningQwQMusic\app\api\music\toplist\route.ts                       | TypeScript     |          5 |          0 |          3 |          8 |
| c:\MiningQwQMusic\app\api\music\track\[id]\download-url\route.ts       | TypeScript     |         11 |          0 |          4 |         15 |
| c:\MiningQwQMusic\app\api\music\track\[id]\insight\route.ts            | TypeScript     |          9 |          0 |          4 |         13 |
| c:\MiningQwQMusic\app\globals.css                                      | PostCSS        |      1,808 |          0 |        327 |      2,135 |
| c:\MiningQwQMusic\public\assets\default-cover.svg                      | XML            |         17 |          0 |          1 |         18 |
| c:\MiningQwQMusic\src\components\player-app.tsx                        | TypeScript JSX |      1,704 |          2 |         94 |      1,800 |
| c:\MiningQwQMusic\src\hooks\use-player-controller.ts                   | TypeScript     |        592 |          5 |         47 |        644 |
| c:\MiningQwQMusic\src\lib\api-route.ts                                 | TypeScript     |         19 |          0 |          2 |         21 |
| c:\MiningQwQMusic\src\lib\client-api.ts                                | TypeScript     |        104 |          0 |         15 |        119 |
| c:\MiningQwQMusic\src\lib\detail-palette-transition.ts                 | TypeScript     |        103 |          0 |         13 |        116 |
| c:\MiningQwQMusic\src\lib\discover-action.ts                           | TypeScript     |         37 |          0 |          9 |         46 |
| c:\MiningQwQMusic\src\lib\home-grid.ts                                 | TypeScript     |         33 |          0 |          6 |         39 |
| c:\MiningQwQMusic\src\lib\music\adapter.ts                             | TypeScript     |         30 |          0 |          1 |         31 |
| c:\MiningQwQMusic\src\lib\music\providers\mock.ts                      | TypeScript     |        168 |          0 |         11 |        179 |
| c:\MiningQwQMusic\src\lib\music\providers\netease-like.ts              | TypeScript     |        678 |          1 |         69 |        748 |
| c:\MiningQwQMusic\src\lib\music\service.ts                             | TypeScript     |        114 |          0 |         11 |        125 |
| c:\MiningQwQMusic\src\lib\playback-guard.ts                            | TypeScript     |         50 |          0 |          9 |         59 |
| c:\MiningQwQMusic\src\lib\playlist-import.ts                           | TypeScript     |         17 |          0 |          2 |         19 |
| c:\MiningQwQMusic\src\lib\theme-preference.ts                          | TypeScript     |         20 |          0 |          7 |         27 |
| c:\MiningQwQMusic\src\store\player-store.ts                            | TypeScript     |         37 |          0 |          0 |         37 |
| c:\MiningQwQMusic\src\types\music.ts                                   | TypeScript     |        115 |          0 |         16 |        131 |
| c:\MiningQwQMusic\tests\e2e\home.spec.ts                               | TypeScript     |        180 |          0 |         19 |        199 |
| c:\MiningQwQMusic\tests\integration\music-discover-routes.test.ts      | TypeScript     |         36 |          0 |          6 |         42 |
| c:\MiningQwQMusic\tests\integration\music-search-artists-route.test.ts | TypeScript     |         27 |          0 |          5 |         32 |
| c:\MiningQwQMusic\tests\integration\music-track-insight-route.test.ts  | TypeScript     |         24 |          0 |          5 |         29 |
| c:\MiningQwQMusic\tests\unit\detail-palette-transition.test.ts         | TypeScript     |         62 |          0 |         11 |         73 |
| c:\MiningQwQMusic\tests\unit\discover-action.test.ts                   | TypeScript     |         53 |          0 |          4 |         57 |
| c:\MiningQwQMusic\tests\unit\home-grid.test.ts                         | TypeScript     |         19 |          0 |          4 |         23 |
| c:\MiningQwQMusic\tests\unit\netease-adapter.test.ts                   | TypeScript     |        268 |          0 |         23 |        291 |
| c:\MiningQwQMusic\tests\unit\playback-guard.test.ts                    | TypeScript     |         66 |          0 |          8 |         74 |
| c:\MiningQwQMusic\tests\unit\player-controller-regression.test.tsx     | TypeScript JSX |        118 |          0 |         23 |        141 |
| c:\MiningQwQMusic\tests\unit\player-store.test.ts                      | TypeScript     |         34 |          0 |          4 |         38 |
| c:\MiningQwQMusic\tests\unit\playlist-import.test.ts                   | TypeScript     |         15 |          0 |          3 |         18 |
| c:\MiningQwQMusic\tests\unit\theme-preference.test.ts                  | TypeScript     |         31 |          0 |          5 |         36 |
| Total                                                                  |                |      6,804 |          8 |        832 |      7,644 |
+------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
