"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\MiningQwQMusic\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MiningQwQMusic\README.md", "Markdown", 0, 0, 0, 127, 0, 0, 0, 0, 0, 47, 174
"c:\MiningQwQMusic\app\api\music\album\[id]\route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\artist\[id]\route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\discover\default-keyword\route.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\home\route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\MiningQwQMusic\app\api\music\discover\hot\route.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\search-assist\route.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\MiningQwQMusic\app\api\music\discover\suggest\route.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\MiningQwQMusic\app\api\music\playlist\[id]\route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\scene\sati\route.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\MiningQwQMusic\app\api\music\scene\sport\route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\MiningQwQMusic\app\api\music\search\artists\route.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\search\route.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\toplist\[id]\route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\toplist\route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
