"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Log", "JavaScript", "Markdown", "PostCSS", "XML", "PowerShell", "Shell Script", "HTML", "Properties", "comment", "blank", "total"
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-21_21-41-52\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 6, 95
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 61
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MiningQwQMusic\.VSCodeCounter\2026-05-25_22-09-46\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 7, 81
"c:\MiningQwQMusic\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MiningQwQMusic\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 50, 187
"c:\MiningQwQMusic\app\api\account\[...path]\route.ts", "TypeScript", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 162
"c:\MiningQwQMusic\app\api\music\album\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\artist\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\discover\default-keyword\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\home\route.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\MiningQwQMusic\app\api\music\discover\hot\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\MiningQwQMusic\app\api\music\discover\search-assist\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\MiningQwQMusic\app\api\music\discover\suggest\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\MiningQwQMusic\app\api\music\playlist\[id]\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\playlist\resolve\route.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\MiningQwQMusic\app\api\music\scene\sati\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\MiningQwQMusic\app\api\music\scene\sport\route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\MiningQwQMusic\app\api\music\search\artists\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\search\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\MiningQwQMusic\app\api\music\toplist\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\toplist\route.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\MiningQwQMusic\app\api\music\track\[id]\download-url\route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\MiningQwQMusic\app\api\music\track\[id]\insight\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\MiningQwQMusic\app\api\music\track\[id]\lyric\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\api\music\track\[id]\play-url\route.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 114
"c:\MiningQwQMusic\app\api\music\track\[id]\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\MiningQwQMusic\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 5300, 0, 0, 0, 0, 0, 0, 920, 6220
"c:\MiningQwQMusic\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\MiningQwQMusic\app\offline\page.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\MiningQwQMusic\app\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\MiningQwQMusic\app\robots.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\MiningQwQMusic\app\sitemap.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\MiningQwQMusic\devserver.log", "Log", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 141
"c:\MiningQwQMusic\docs\echo-subdomain-deploy.md", "Markdown", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 43, 131
"c:\MiningQwQMusic\docs\upstream-contract.md", "Markdown", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 14, 50
"c:\MiningQwQMusic\next-dev.err.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\MiningQwQMusic\next-dev.log", "Log", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\MiningQwQMusic\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\MiningQwQMusic\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"c:\MiningQwQMusic\ops\nginx\echo.miningqwq.cn.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 11, 48
"c:\MiningQwQMusic\ops\scripts\verify-echo-subdomain.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 14, 103
"c:\MiningQwQMusic\ops\scripts\verify-echo-subdomain.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 1, 14, 79
"c:\MiningQwQMusic\package-lock.json", "JSON", 0, 0, 8531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8532
"c:\MiningQwQMusic\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\MiningQwQMusic\playwright.config.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\MiningQwQMusic\public\assets\default-cover.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
